PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,MIN,GP,USG_PCT,AST_PCT,TS_PCT,OFF_RATING,DEF_RATING,PIE,3P_Attempt_Rate,PICK__ROLL_BALL_HANDLER_FREQ,PICK__ROLL_BALL_HANDLER_PPP,ISOLATION_FREQ,ISOLATION_PPP,HANDOFF_FREQ,HANDOFF_PPP,OFF_SCREEN_FREQ,OFF_SCREEN_PPP,CUT_FREQ,CUT_PPP,PUTBACK_FREQ,PUTBACK_PPP,POST_UP_FREQ,POST_UP_PPP,PICK__ROLL_ROLL_MAN_FREQ,PICK__ROLL_ROLL_MAN_PPP,SPOT_UP_FREQ,SPOT_UP_PPP,TRANSITION_FREQ,TRANSITION_PPP
1630182,Josh Green,CHA,27.8,68,0.115,0.081,0.559,105.3,114.2,0.043,0.5890736342042755,0.075,0.538,0.0,0.0,0.056,0.448,0.071,0.73,0.033,1.294,0.027,0.929,0.0,0.0,0.0,0.0,0.395,1.136,0.261,1.022
1628404,Josh Hart,NYK,37.6,77,0.151,0.206,0.611,117.9,114.3,0.119,0.3272727272727272,0.065,0.985,0.039,0.95,0.017,1.294,0.0,0.0,0.119,1.256,0.068,1.13,0.0,0.0,0.041,1.071,0.303,1.0,0.262,1.147
1631169,Josh Minott,MIN,6.0,46,0.16,0.096,0.605,104.0,107.0,0.095,0.4777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629006,Josh Okogie,CHA,15.6,40,0.185,0.082,0.567,108.8,109.3,0.1,0.4339622641509434,0.102,0.714,0.0,0.0,0.073,1.3,0.0,0.0,0.069,1.3,0.132,1.263,0.0,0.0,0.0,0.0,0.458,1.061,0.208,1.0
1626196,Josh Richardson,MIA,18.7,8,0.134,0.117,0.402,104.1,114.7,0.015,0.5789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.438,0.476,0.0,0.0
201950,Jrue Holiday,BOS,30.6,62,0.156,0.174,0.565,116.6,107.7,0.088,0.5340314136125655,0.121,0.904,0.06,0.878,0.0,0.0,0.025,1.118,0.053,1.5,0.039,0.778,0.056,0.789,0.038,0.962,0.354,1.066,0.18,1.122
1630577,Julian Champagnie,SAS,23.6,82,0.164,0.078,0.577,112.3,114.5,0.079,0.7218045112781954,0.032,0.6,0.019,0.8,0.03,0.739,0.047,0.75,0.042,1.25,0.043,1.303,0.0,0.0,0.047,1.028,0.475,1.041,0.23,1.215
1641763,Julian Phillips,CHI,14.2,79,0.126,0.045,0.571,112.9,111.1,0.055,0.5331010452961672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109,1.474,0.106,1.27,0.0,0.0,0.032,1.0,0.399,0.849,0.261,1.121
1631124,Julian Strawther,DEN,21.3,65,0.173,0.082,0.559,111.9,114.4,0.057,0.5534979423868313,0.104,0.787,0.022,0.462,0.142,0.892,0.096,0.946,0.027,1.688,0.017,1.6,0.0,0.0,0.017,1.7,0.293,1.064,0.223,1.1
203944,Julius Randle,MIN,32.3,69,0.246,0.228,0.593,115.0,111.6,0.124,0.3343982960596379,0.075,1.021,0.134,0.785,0.022,1.0,0.024,1.032,0.045,1.379,0.064,1.354,0.121,1.09,0.077,1.091,0.24,0.955,0.141,1.122
