Team,Team_Playstyle,Lineup_Name,Minutes,Plus_Minus,Current_OFF_Archetypes,Current_DEF_Archetypes,Rec_Add_OFF,Rec_Add_DEF
NOP,High Pace + Rim/Midrange Focus + Transition Heavy,C. McCollum - D. Murray - Z. Williamson - Y. Missi,61.968333,15.0,"Elite P&R Handler, High Playmaking, High Usage, Elite P&R Handler, High Playmaking, High Usage, Elite Iso, Elite Usage, High Playmaking, Elite Cutter, Elite Roll Man, Post Up","Guards SF (), High High Difficulty, Versatile, Steals, Versatile, Anchor Big / Rim Protector","Elite Off-Screen, Spot Up, Transition, Elite Post Up, High Roll Man, High Usage, High Spot Up, Transition","High Steals, Versatile, Disruptor"
NOP,High Pace + Rim/Midrange Focus + Transition Heavy,C. McCollum - Z. Williamson - J. Alvarado - Y. Missi,62.116667,14.0,"Elite P&R Handler, High Playmaking, High Usage, Elite Iso, Elite Usage, High Playmaking, Elite P&R Handler, High Playmaking, High Usage, Elite Cutter, Elite Roll Man, Post Up","Guards SF (), Versatile, Guards PG (High Disruptor), Anchor Big / Rim Protector","Elite Off-Screen, Spot Up, Transition, Elite Post Up, High Roll Man, High Usage, High Spot Up, Transition","High High Difficulty, Versatile, Steals, High Steals, Versatile, Disruptor"
NOP,High Pace + Rim/Midrange Focus + Transition Heavy,C. McCollum - D. Murray - Z. Williamson - T. Murphy III,78.151667,13.0,"Elite P&R Handler, High Playmaking, High Usage, Elite P&R Handler, High Playmaking, High Usage, Elite Iso, Elite Usage, High Playmaking, P&R Handler, Transition, Spot Up","Guards SF (), High High Difficulty, Versatile, Steals, Versatile, High Steals, Versatile, Disruptor","Elite Off-Screen, Spot Up, Transition, Elite Cutter, Elite Roll Man, Post Up, Elite Post Up, High Roll Man, High Usage, High Spot Up, Transition",Anchor Big / Rim Protector
MEM,High Pace + Rim/Midrange Focus + Transition Heavy,J. Jackson Jr. - J. Morant - Z. Edey - J. Wells,325.043333,172.0,"Elite Post Up, High Roll Man, High Usage, Elite Iso, Elite Usage, High Playmaking, Elite Post Up, High Roll Man, High Usage, High Spot Up, Transition","High Steals, Versatile, Disruptor, Guards PG (High Disruptor), Anchor Big / Rim Protector, High High Difficulty, Versatile, Steals","Elite P&R Handler, High Playmaking, High Usage, Elite Off-Screen, Spot Up, Transition, Elite Cutter, Elite Roll Man, Post Up","Versatile, Guards SF ()"
MEM,High Pace + Rim/Midrange Focus + Transition Heavy,J. Jackson Jr. - D. Bane - Z. Edey - J. Wells,393.031667,142.0,"Elite Post Up, High Roll Man, High Usage, Elite P&R Handler, High Playmaking, High Usage, Elite Post Up, High Roll Man, High Usage, High Spot Up, Transition","High Steals, Versatile, Disruptor, High Steals, Versatile, Disruptor, Anchor Big / Rim Protector, High High Difficulty, Versatile, Steals","Elite Off-Screen, Spot Up, Transition, Elite Cutter, Elite Roll Man, Post Up","Versatile, Guards SF ()"
MEM,High Pace + Rim/Midrange Focus + Transition Heavy,J. Jackson Jr. - J. Morant - D. Bane - J. Wells,376.395,125.0,"Elite Post Up, High Roll Man, High Usage, Elite Iso, Elite Usage, High Playmaking, Elite P&R Handler, High Playmaking, High Usage, High Spot Up, Transition","High Steals, Versatile, Disruptor, Guards PG (High Disruptor), High Steals, Versatile, Disruptor, High High Difficulty, Versatile, Steals","Elite Off-Screen, Spot Up, Transition, Elite Cutter, Elite Roll Man, Post Up","Versatile, Anchor Big / Rim Protector, Guards SF ()"
MEM,High Pace + Rim/Midrange Focus + Transition Heavy,J. Morant - D. Bane - Z. Edey - J. Wells,315.81,110.0,"Elite Iso, Elite Usage, High Playmaking, Elite P&R Handler, High Playmaking, High Usage, Elite Post Up, High Roll Man, High Usage, High Spot Up, Transition","Guards PG (High Disruptor), High Steals, Versatile, Disruptor, Anchor Big / Rim Protector, High High Difficulty, Versatile, Steals","Elite Off-Screen, Spot Up, Transition, Elite Cutter, Elite Roll Man, Post Up","Versatile, Guards SF ()"
MEM,High Pace + Rim/Midrange Focus + Transition Heavy,J. Jackson Jr. - J. Morant - D. Bane - Z. Edey,288.42,99.0,"Elite Post Up, High Roll Man, High Usage, Elite Iso, Elite Usage, High Playmaking, Elite P&R Handler, High Playmaking, High Usage, Elite Post Up, High Roll Man, High Usage","High Steals, Versatile, Disruptor, Guards PG (High Disruptor), High Steals, Versatile, Disruptor, Anchor Big / Rim Protector","Elite Off-Screen, Spot Up, Transition, Elite Cutter, Elite Roll Man, Post Up, High Spot Up, Transition","Versatile, High High Difficulty, Versatile, Steals, Guards SF ()"
GSW,3-Point Heavy,J. Butler III - D. Green - M. Moody - B. Podziemski,372.488333,101.0,"Elite Iso, Elite Usage, High Playmaking, High Spot Up, Transition, Elite Off-Screen, Spot Up, Transition, P&R Handler, Transition, Spot Up","High Steals, Versatile, Disruptor, High Steals, Versatile, Disruptor, High Steals, Versatile, Disruptor, High High Difficulty, Versatile, Steals","Elite Cutter, Elite Roll Man, Post Up","Versatile, Guards PG (High Disruptor), Anchor Big / Rim Protector"
GSW,3-Point Heavy,S. Curry - J. Butler III - D. Green - B. Podziemski,292.49,100.0,"Elite P&R Handler, High Playmaking, High Usage, Elite Iso, Elite Usage, High Playmaking, High Spot Up, Transition, P&R Handler, Transition, Spot Up","Guards SF (), High Steals, Versatile, Disruptor, High Steals, Versatile, Disruptor, High High Difficulty, Versatile, Steals","Elite Off-Screen, Spot Up, Transition, Elite Cutter, Elite Roll Man, Post Up","Versatile, Guards PG (High Disruptor), Anchor Big / Rim Protector"
