Player,Baseline_AAV,Type,Prev Team,Live_AAV_2026-01-04
Jamal Shead,1810904.5153069953,RFA / Bird,TOR,6194287.987383362
Jamal Shead,1810904.5153069953,RFA / Bird,TOR,6194287.987383362
Jamaree Bouyea,2651224.5987734385,RFA / Two-Way,PHX,4434319.503240555
James Harden,43323302.073400185,PLAYER / $42.3M,LAC,17946200.77696928
Javonte Green,-1538093.2780096247,UFA / Non-Bird,DET,5083568.501314152
Jaxson Hayes,7261717.513616856,UFA / Bird,LAL,2691569.161075002
Jaylen Clark,2415700.0101665147,RFA / Bird,MIN,2586441.5246562124
Jeff Green,1891034.1889431032,UFA / Bird,HOU,636474.8757555543
Jeremy Sochan,9158008.041387549,RFA / Bird,SAS,1256336.1780302105
Jericho Sims,-187253.27568451877,PLAYER / $2.8M,MIL,-1590516.037714589
Jett Howard,-592640.1185537477,UFA / Bird,ORL,2073546.299902779
Jevon Carter,2388112.309695186,UFA / Bird,CHI,1655822.4065524333
Jock Landale,1874894.0027854757,UFA / Non-Bird,MEM,5943947.623555503
Joe Ingles,1006875.8714334002,UFA / Early Bird,MIN,2153123.961885596
John Collins,15017674.919779118,UFA / Bird,LAC,7876786.143582946
Johnny Juzang,270102.0637838067,UFA / Two-Way,MIN,2088653.0052171457
Jonathan Kuminga,13236330.24988504,CLUB / $24.3M,GSW,4410200.896281318
Jonathan Mogbo,218753.5412166787,CLUB / $2.3M,TOR,1693843.0949826364
Jordan Clarkson,7450154.673240143,UFA / Non-Bird,NYK,7286685.645522526
Jordan Goodwin,3026887.414894128,UFA / Early Bird,PHX,6427021.861199263
Jordan McLaughlin,541271.2448387374,UFA / Early Bird,SAS,1767389.437515319
Jordan Miller,316189.7593703801,RFA / Two-Way,LAC,1938167.1910635664
Jordan Walsh,-1116917.4435317034,CLUB / $2.4M,BOS,4957140.920473929
Jose Alvarado,5022731.6327132685,PLAYER / $4.5M,NOP,3891070.088696663
Josh Minott,-613097.8824853421,CLUB / $2.6M,BOS,4345006.030859045
Josh Okogie,3995626.7938506817,UFA / Non-Bird,HOU,4824040.021677257
Julian Champagnie,10002592.584611531,CLUB / $3.0M,SAS,10176276.777209347
Julian Phillips,1947104.14462942,CLUB / $2.4M,CHI,2004927.4816604846
Keaton Wallace,2658719.725009807,RFA / Non-Bird,ATL,1058243.9723883905
Kelly Olynyk,5581529.395827566,UFA / Bird,SAS,3468157.0141186905
Kelly Oubre Jr.,10925322.134780155,UFA / Bird,PHI,5886925.018620096
Kenrich Williams,11266073.455882875,CLUB / $7.2M,OKC,3886982.13982423
Kentavious Caldwell-Pope,8998019.673694687,PLAYER / $21.6M,MEM,5310115.392313096
Keon Ellis,9875679.663022382,UFA / Bird,SAC,-624024.6586898952
Keshad Johnson,1941392.453258136,RFA / Early Bird,MIA,2483633.0660824995
Kevin Huerter,12108029.76904727,UFA / Bird,CHI,6711576.568039797
Kevin Love,2178465.3848194564,UFA / Bird,UTA,2135869.4156889846
Kevin McCullar Jr.,2548842.18076685,RFA / Two-Way,NYK,2231197.518709359
Kevin Porter Jr.,12190819.467398437,PLAYER / $5.4M,MIL,7561116.276324058
Kevon Looney,5352808.437257096,CLUB / $8.0M,NOP,1189107.073880441
Khris Middleton,9361846.51722306,UFA / Bird,WAS,3565274.1439516395
Kyle Lowry,798393.6698725001,UFA / Early Bird,PHI,2836465.4570552646
Landry Shamet,4547034.103489349,UFA / Bird,NYK,4149641.12867297
Larry Nance Jr.,2747176.5372158964,UFA / Non-Bird,CLE,1883584.757109531
LeBron James,33908336.95072145,UFA / Bird,LAL,7594622.66389352
Leonard Miller,1121928.3478570734,CLUB / $2.4M,MIN,1913814.6447387
Lindy Waters III,2535122.8882548525,UFA / Non-Bird,SAS,1805145.9038984128
Lonzo Ball,7207513.935525333,CLUB / $10.0M,CLE,4648185.333864808
Luguentz Dort,22027712.16970931,CLUB / $18.2M,OKC,9030962.054680288
Luke Kennard,10982400.481800493,UFA / Non-Bird,ATL,4453037.448058746
Luke Travers,1692433.8435794837,RFA / Two-Way,CLE,1362732.0787500597
Malaki Branham,1172400.9731252668,RFA / Bird,WAS,651687.6411444078
Marcus Smart,6539617.260342635,PLAYER / $5.4M,LAL,6394287.33142083
Mark Williams,7661073.350325057,RFA / Bird,PHX,9085044.8897213
Marvin Bagley III,1758160.862658167,UFA / Non-Bird,WAS,5556595.668140315
Mason Plumlee,4322709.29933044,UFA / Non-Bird,CHA,2155302.929393475
Matisse Thybulle,3746123.831970582,UFA / Bird,POR,3380305.90248735
Maxi Kleber,1179270.232499463,UFA / Bird,LAL,2771262.4265108444
Micah Potter,215250.5166658752,CLUB / $2.8M,IND,3683044.0190396584
Mike Conley,13959423.941483166,UFA / Bird,MIN,3247025.2989165913
Mitchell Robinson,3657987.171676057,UFA / Bird,NYK,4506994.645295455
Moritz Wagner,7292870.235804227,UFA / Bird,ORL,
Mouhamed Gueye,5426926.79787054,CLUB / $2.4M,ATL,3194829.687998736
