Player,Baseline_AAV,Type,Prev Team,Live_AAV_2026-01-04,Live_AAV_2026-01-05
Isaiah Jackson,,,,,2966464.7102234284
Isaiah Joe,,,,,8273753.382822327
Isaiah Livers,,,,,3143346.492072681
Isaiah Stevens,2561673.728332095,RFA / Two-Way,SAC,,
Isaiah Stewart,,,,,7727108.151367005
Ivica Zubac,,,,,9254816.364172602
JD Davison,,,,,661149.0253476785
Ja Morant,,,,,6714925.390324728
Ja'Kobe Walter,,,,,1322915.6461795561
Jabari Smith Jr.,,,,,14722650.822128536
Jabari Walker,2919930.778706392,RFA / Two-Way,PHI,1832708.5323014625,1753374.8857110487
Jackson Rowe,3079662.4233253505,RFA / Two-Way,GSW,,
Jacob Toppin,,,,,2673569.452602944
Jaden Hardy,,,,,3659980.642484755
Jaden Ivey,9716146.798016597,RFA / Bird,DET,4994782.04044898,5327079.266546352
Jaden McDaniels,,,,,12842449.481507108
Jae'Sean Tate,,,,,243436.5072836982
Jahmai Mashack,,,,,1699697.4240576434
Jahmir Young,,,,,1970240.2353802104
Jahmyl Telfort,,,,,1857480.1265666513
Jaime Jaquez Jr.,,,,,14231698.567283878
Jake LaRavia,,,,,5435660.727941423
Jakob Poeltl,,,,,5169197.917144044
Jalen Brunson,,,,,22611031.155919358
Jalen Duren,17676091.827400066,RFA / Bird,DET,15535990.644012086,15535990.644012086
Jalen Green,,,,,3405687.827677167
Jalen Johnson,,,,,17889445.617963802
Jalen Pickett,2724181.472055938,CLUB / $2.4M,DEN,2410598.058276881,2515883.7093944033
Jalen Smith,,,,,6669473.391331268
Jalen Suggs,,,,,10516801.06512466
Jalen Williams,,,,,10125582.750299778
Jalen Wilson,4771042.0459842635,RFA / Bird,BKN,514109.0586180945,516937.4140333972
Jamal Cain,-84189.04948225168,RFA / Two-Way,ORL,2370635.7634881884,2245993.2124336185
Jamal Murray,,,,,22685074.419253588
Jamal Shead,1810904.5153069953,CLUB / $2.3M,TOR,6194287.987383362,6293030.548505853
