SNAPSHOT_TIME,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,Offensive Archetype,Defensive Archetype,Off_Cluster,Def_Cluster,USG_PCT,AST_PCT,DEF_RATING
2026-01-13 17:52,1630526,Jeremiah Robinson-Earl,IND,Off_Cluster_1,Def_Cluster_3,1,3,0.13,0.056,119.5
2026-01-13 17:52,1631110,Jeremy Sochan,SAS,Off_Cluster_1,Def_Cluster_2,1,2,0.145,0.122,115.7
2026-01-13 17:52,1630579,Jericho Sims,MIL,Off_Cluster_5,Def_Cluster_3,5,3,0.085,0.065,118.6
2026-01-13 17:52,1641724,Jett Howard,ORL,Off_Cluster_1,Def_Cluster_2,1,2,0.175,0.11,114.0
2026-01-13 17:52,1628975,Jevon Carter,CHI,Off_Cluster_1,Def_Cluster_2,1,2,0.185,0.117,120.5
2026-01-13 17:52,202710,Jimmy Butler III,GSW,Off_Cluster_6,Def_Cluster_2,6,2,0.225,0.241,109.8
2026-01-13 17:52,1642866,Joan Beringer,MIN,Off_Cluster_0,Def_Cluster_0,0,0,0.147,0.0,100.7
2026-01-13 17:52,1629111,Jock Landale,MEM,Off_Cluster_3,Def_Cluster_3,3,3,0.181,0.11,116.9
2026-01-13 17:52,204060,Joe Ingles,MIN,Off_Cluster_0,Def_Cluster_2,0,2,0.064,0.217,114.7
2026-01-13 17:52,203954,Joel Embiid,PHI,Off_Cluster_3,Def_Cluster_3,3,3,0.333,0.19,110.6
2026-01-13 17:52,1628381,John Collins,LAC,Off_Cluster_3,Def_Cluster_3,3,3,0.18,0.047,114.7
2026-01-13 17:52,1629723,John Konchar,MEM,Off_Cluster_1,Def_Cluster_2,1,2,0.085,0.126,103.5
2026-01-13 17:52,1641780,Johni Broome,PHI,Off_Cluster_0,Def_Cluster_3,0,3,0.24,0.16,115.1
2026-01-13 17:52,1642277,Johnny Furphy,IND,Off_Cluster_1,Def_Cluster_3,1,3,0.122,0.054,115.1
2026-01-13 17:52,1630548,Johnny Juzang,MIN,Off_Cluster_0,Def_Cluster_0,0,0,0.228,0.095,101.6
2026-01-13 17:52,202685,Jonas Valančiūnas,DEN,Off_Cluster_3,Def_Cluster_3,3,3,0.258,0.156,118.8
2026-01-13 17:52,1628371,Jonathan Isaac,ORL,Off_Cluster_1,Def_Cluster_3,1,3,0.123,0.039,105.6
2026-01-13 17:52,1630228,Jonathan Kuminga,GSW,Off_Cluster_6,Def_Cluster_3,6,3,0.238,0.161,113.5
