PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,Archetype_Name,Cluster,USG_PCT,AST_PCT,PICK__ROLL_BALL_HANDLER_FREQ,PICK__ROLL_ROLL_MAN_FREQ,SPOT_UP_FREQ,POST_UP_FREQ,OFF_SCREEN_FREQ,CUT_FREQ,ISOLATION_FREQ,TRANSITION_FREQ
203995,Vasilije Micic,PHX,"Elite P&R Handler, High Playmaking, High Usage",3,0.199,0.258,0.54,0.0,0.156,0.0,0.0,0.0,0.052,0.115
1641705,Victor Wembanyama,SAS,"Elite Post Up, High Roll Man, High Usage",0,0.3,0.184,0.074,0.15,0.152,0.103,0.092,0.066,0.089,0.151
1631246,Vince Williams Jr.,MEM,"High Spot Up, Transition",1,0.166,0.14,0.062,0.0,0.417,0.0,0.0,0.095,0.0,0.175
1628427,Vlatko Čančar,DEN,"High Spot Up, Transition",1,0.109,0.095,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.324
1630249,Vít Krejčí,ATL,"High Spot Up, Transition",1,0.131,0.175,0.135,0.041,0.318,0.0,0.028,0.052,0.0,0.24
1631117,Walker Kessler,UTA,"Elite Cutter, Elite Roll Man, Post Up",2,0.133,0.083,0.0,0.194,0.037,0.0,0.0,0.241,0.0,0.114
1628976,Wendell Carter Jr.,ORL,"Elite Cutter, Elite Roll Man, Post Up",2,0.159,0.117,0.0,0.18,0.206,0.072,0.0,0.213,0.026,0.088
1631111,Wendell Moore Jr.,CHA,"P&R Handler, Transition, Spot Up",5,0.133,0.13,0.172,0.0,0.219,0.0,0.0,0.0,0.0,0.281
1642274,Yves Missi,NOP,"Elite Cutter, Elite Roll Man, Post Up",2,0.141,0.072,0.0,0.274,0.036,0.027,0.0,0.257,0.0,0.075
1642258,Zaccharie Risacher,ATL,"High Spot Up, Transition",1,0.203,0.068,0.057,0.035,0.325,0.0,0.045,0.077,0.012,0.299
1628380,Zach Collins,CHI,"Elite Cutter, Elite Roll Man, Post Up",2,0.166,0.162,0.0,0.224,0.213,0.079,0.0,0.178,0.0,0.095
1641744,Zach Edey,MEM,"Elite Post Up, High Roll Man, High Usage",0,0.156,0.059,0.0,0.099,0.051,0.159,0.0,0.216,0.0,0.117
203897,Zach LaVine,SAC,"Elite Iso, Elite Usage, High Playmaking",4,0.251,0.178,0.267,0.017,0.136,0.044,0.033,0.041,0.166,0.233
1630192,Zeke Nnaji,DEN,"High Spot Up, Transition",1,0.119,0.051,0.0,0.107,0.294,0.0,0.0,0.181,0.0,0.215
1630533,Ziaire Williams,BKN,"High Spot Up, Transition",1,0.179,0.086,0.037,0.017,0.434,0.0,0.017,0.058,0.0,0.234
1629627,Zion Williamson,NOP,"Elite Iso, Elite Usage, High Playmaking",4,0.325,0.325,0.154,0.036,0.071,0.117,0.0,0.074,0.237,0.15
