Team,Budget_Status,Player,Action,Contract_Value,Contract_Type,Fit_Reason,Archetypes,Score
ORL,Over Cap (MLE/Min only),Bismack Biyombo,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,Balanced / Low Usage Role / Anchor Big / Rim Protector,1
ORL,Over Cap (MLE/Min only),Alex Len,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,Unknown / Anchor Big / Rim Protector,1
ORL,Over Cap (MLE/Min only),Doug McDermott,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,Unknown / Guards SF (),1
ORL,Over Cap (MLE/Min only),Spencer Dinwiddie,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,"Elite Iso, Elite Usage, High Playmaking / Guards SF ()",1
ORL,Over Cap (MLE/Min only),Seth Curry,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,"Elite Off-Screen, Spot Up, Transition / Guards SF ()",1
ATL,Over Cap (MLE/Min only),Jacob Toppin,Re-sign (Bird Rights),$0,Minimum/Low,Defensive Fit,Unknown / Versatile,1
ATL,Over Cap (MLE/Min only),Chris Boucher,Sign (Cap Space/MLE),"$3,287,409",Minimum/Low,Defensive Fit,"High Spot Up, Transition / Versatile",1
ATL,Over Cap (MLE/Min only),Sandro Mamukelashvili,Sign (Cap Space/MLE),"$2,631,405",Minimum/Low,Defensive Fit,"High Spot Up, Transition / Versatile",1
ATL,Over Cap (MLE/Min only),Charles Bassey,Re-sign (Bird Rights),"$2,461,463",Minimum/Low,Defensive Fit,"Elite Cutter, Elite Roll Man, Post Up / Anchor Big / Rim Protector",1
ATL,Over Cap (MLE/Min only),Bismack Biyombo,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,Balanced / Low Usage Role / Anchor Big / Rim Protector,1
MIA,Over Cap (MLE/Min only),Dru Smith,Re-sign (Bird Rights),"$2,632,717",Minimum/Low,Defensive Fit,"P&R Handler, Transition, Spot Up / Guards PG (High Disruptor)",1
